Date,Milk,Cheddar
01/02/1990,0.9698413,3.443197
01/03/1990,0.9882759,3.486956
01/04/1990,0.9708667,3.398474
01/05/1990,0.9928481,3.48038
01/06/1990,0.9894969,3.494167
01/07/1990,0.9855769,3.490298
01/08/1990,0.9868125,3.477844
01/09/1990,0.9612122,3.509843
01/10/1990,0.9993023,3.45317
01/11/1990,1.030575,3.513234
01/12/1990,1.047101,3.509987
01/01/1991,1.070124,3.516483
01/02/1991,1.076811,3.503151
01/03/1991,1.075078,3.505636
01/04/1991,1.077464,3.522482
01/05/1991,1.08022,3.558649
01/06/1991,1.078325,3.604799
01/07/1991,1.074455,3.573698
01/08/1991,1.07177,3.582366
01/09/1991,1.078707,3.601416
01/10/1991,1.077791,3.623428
01/11/1991,1.07619,3.643486
01/12/1991,1.071,3.69008
01/01/1992,1.066951,3.760582
01/02/1992,1.061778,3.712818
01/03/1992,1.04924,3.813993
01/04/1992,1.060565,3.845276
01/05/1992,1.056705,3.919146
01/06/1992,1.068276,3.969155
01/07/1992,1.084503,3.950583
01/08/1992,1.075389,3.973348
01/09/1992,1.078066,3.98497
01/10/1992,1.064194,3.943258
01/11/1992,1.031351,4.011716
01/12/1992,1.021429,3.981919
01/01/1993,1.011027,3.978219
01/02/1993,1.004764,4.068316
01/03/1993,0.9902674,4.15191
01/04/1993,0.9797354,4.198754
01/05/1993,0.9775916,4.234068
01/06/1993,0.9830688,4.255494
01/07/1993,0.9936316,4.311917
01/08/1993,0.9834536,4.286444
01/09/1993,0.9697436,4.299348
01/10/1993,0.9373575,4.29607
01/11/1993,0.9107614,4.292867
01/12/1993,0.9026396,4.240182
01/01/1994,0.9005051,4.302299
01/02/1994,0.8964974,4.323811
01/03/1994,0.9136649,4.299574
01/04/1994,0.9085492,4.320939
01/05/1994,0.9021905,4.337166
01/06/1994,0.8944811,4.331344
01/07/1994,0.8859813,4.295212
01/08/1994,0.8827604,4.304343
01/09/1994,0.8824883,4.281765
01/10/1994,0.8663366,4.249488
01/11/1994,0.908972,4.33714
01/12/1994,0.9135714,4.310618
01/01/1995,0.912783,4.388923
01/02/1995,0.9218396,4.60336
01/03/1995,0.9222535,4.620994
01/04/1995,0.9215024,4.546428
01/05/1995,0.9224883,4.549554
01/06/1995,0.9231604,4.675828
01/07/1995,0.9193427,4.700504
01/08/1995,0.916934,4.670764
01/09/1995,0.9080095,4.639308
01/10/1995,0.9021043,4.792744
01/11/1995,0.8975668,4.775666
01/12/1995,0.9102617,4.817193
01/01/1996,0.9087018,4.880728
01/02/1996,0.9067633,4.677812
01/03/1996,0.9638679,4.784324
01/04/1996,0.9533491,4.876447
01/05/1996,0.9510798,4.926165
01/06/1996,0.9521182,4.871849
01/07/1996,0.9647442,4.903991
01/08/1996,0.9493296,5.046685
01/09/1996,0.9459459,5.039558
01/10/1996,0.943172,5.004364
01/11/1996,0.9430054,5.13
01/12/1996,0.9417112,5.098148
01/01/1997,0.9374864,5.121437
01/02/1997,0.9425555,5.131772
01/03/1997,0.9083957,5.239722
01/04/1997,0.894945,5.243895
01/05/1997,0.8933702,5.311173
01/06/1997,0.9038503,5.359667
01/07/1997,0.8982514,5.34324
01/08/1997,0.8962434,5.415
01/09/1997,0.8964706,5.417923
01/10/1997,0.8949206,5.410555
01/11/1997,0.8968254,5.361858
01/12/1997,0.8980645,5.369668
01/01/1998,0.8985561,5.338743
01/02/1998,0.8948052,5.32298
01/03/1998,0.9001923,5.300201
01/04/1998,0.8955414,5.21482
01/05/1998,0.906519,5.16338
01/06/1998,0.9031013,5.219084
01/07/1998,0.9057325,5.342756
01/08/1998,0.9052287,5.355621
01/09/1998,0.9046451,5.356667
01/10/1998,0.9075159,5.349743
01/11/1998,0.9113461,5.315949
01/12/1998,0.9159235,5.165287
01/01/1999,0.9159849,5.304488
01/02/1999,0.9241667,5.199726
01/03/1999,0.9230769,5.276601
01/04/1999,0.9240385,5.298766
01/05/1999,0.9259236,5.287947
01/06/1999,0.9258228,5.36808
01/07/1999,0.925414,5.127956
01/08/1999,0.8989874,5.279226
01/09/1999,0.8831169,5.233493
